element,id,name,brand,addr:street,addr:housenumber,addr:city,addr:postcode,phone,website,geometry,lat,lon,is_duplicate
relation,15937762,MCDONALDS,McDonald's,Avenida Águia de Haia,3582,São Paulo,,,,"POLYGON ((-46.4765743 -23.5144465, -46.4761244 -23.5143905, -46.476089 -23.5143852, -46.4760569 -23.5146578, -46.4760794 -23.5146989, -46.4765018 -23.5147501, -46.4765358 -23.5147311, -46.4765485 -23.5146374, -46.4765578 -23.5145687, -46.4765671 -23.5144999, -46.4765743 -23.5144465))",-23.5146312810199,-46.47629468909298,1
relation,17093983,MCDONALD'S,McDonald's,Avenida Mutinga,,São Paulo,,,,"POLYGON ((-46.7386398 -23.4862717, -46.738675 -23.4862612, -46.738659 -23.4860635, -46.7386485 -23.485934, -46.7383928 -23.4859303, -46.738098 -23.4859261, -46.7380502 -23.4864483, -46.7382977 -23.4863741, -46.7386398 -23.4862717))",-23.486401898002224,-46.7387825333958,1
relation,17767373,MCDONALD'S,McDonald's,Rua Maria Amália Lopes Azevedo,1138,São Paulo,,,,"POLYGON ((-46.6150486 -23.4585468, -46.6150063 -23.4583394, -46.6149917 -23.4583212, -46.6149679 -23.4583066, -46.6149494 -23.4583066, -46.6144574 -23.4583236, -46.6145165 -23.4587539, -46.6147152 -23.458733, -46.6146959 -23.4586118, -46.6146926 -23.4585883, -46.615004 -23.458551, -46.6150486 -23.4585468))",-23.45839666592922,-46.61498944324852,1
way,34379305,Mc Donalds,McDonald's,Avenida Vital Brasil,1256,São Paulo,05503-000,,,"POLYGON ((-46.7152313 -23.568928, -46.7151348 -23.5686961, -46.715039 -23.5687273, -46.7151289 -23.5689652, -46.7151692 -23.5689543, -46.7151752 -23.5689765, -46.7151941 -23.5689704, -46.7152229 -23.5689612, -46.7152092 -23.5689431, -46.7152313 -23.568928))",-23.569329756468584,-46.714929080840115,1
way,125998728,MCDONALD'S,McDonald's,,,,,,,"POLYGON ((-46.6502638 -23.6020602, -46.6502749 -23.6022382, -46.6502563 -23.6022401, -46.650268 -23.6023346, -46.6502642 -23.602335, -46.6502679 -23.6023649, -46.6503016 -23.6023614, -46.6503031 -23.6023736, -46.6503375 -23.6023699, -46.6503409 -23.6023975, -46.6504102 -23.6023903, -46.6504056 -23.6023535, -46.6504356 -23.6023504, -46.6504231 -23.6022499, -46.6504362 -23.6022485, -46.650431 -23.6022069, -46.6504208 -23.602208, -46.6504092 -23.602114, -46.6503699 -23.6021181, -46.6503614 -23.6020499, -46.6502638 -23.6020602))",-23.602500549558158,-46.649937507742436,1
way,183798231,MCDONALDS,McDonald's,,,,,,,"POLYGON ((-46.6378059 -23.5827572, -46.6377623 -23.5828239, -46.6379889 -23.5829426, -46.6380247 -23.5828734, -46.6380581 -23.5828086, -46.637847 -23.5826942, -46.6378059 -23.5827572))",-23.58324694591976,-46.63817527077545,1
way,184097428,McDonald's,McDonald's,Avenida do Cursino,,São Paulo,,,,"POLYGON ((-46.6206257 -23.6223072, -46.6205999 -23.6223907, -46.6208119 -23.6224458, -46.6208377 -23.6223623, -46.6206257 -23.6223072))",-23.62266226319263,-46.62108648815128,1
way,185807013,McDonald's,McDonald's,Rua Catulo da Paixão Cearense,717,São Paulo,,,,"POLYGON ((-46.6275351 -23.6139958, -46.627502 -23.6143091, -46.6276855 -23.6143256, -46.6276968 -23.6142186, -46.627799 -23.6142278, -46.6278088 -23.6141346, -46.6278313 -23.6141366, -46.6278395 -23.6140601, -46.62776 -23.614053, -46.6277573 -23.6140782, -46.6277217 -23.6140751, -46.6277282 -23.6140131, -46.6275351 -23.6139958))",-23.614411700363586,-46.627674579951055,1
way,244246052,McDonald's,McDonald's,Avenida Professor Luiz Ignácio Anhaia Mello,2230,São Paulo,03154-100,,,"POLYGON ((-46.5721661 -23.5834024, -46.5721664 -23.5833834, -46.5722066 -23.5833841, -46.5722111 -23.5831453, -46.5720612 -23.5831429, -46.57206 -23.58321, -46.5720407 -23.5832097, -46.5720388 -23.583311, -46.5720473 -23.5833111, -46.572046 -23.5833813, -46.5721147 -23.5833824, -46.5721142 -23.5834015, -46.5721661 -23.5834024))",-23.58357768235134,-46.572531414862915,1
way,349199082,McDonald's,McDonald's,Avenida Nazaré,1664,São Paulo,04262-200,,,"POLYGON ((-46.6100979 -23.5988651, -46.6098365 -23.5988424, -46.6098271 -23.5989351, -46.6098943 -23.598941, -46.6098933 -23.5989499, -46.6099128 -23.5989516, -46.6099114 -23.5989654, -46.6100385 -23.5989763, -46.6100399 -23.5989622, -46.6100546 -23.5989634, -46.6100583 -23.598927, -46.6100982 -23.5989305, -46.6101001 -23.5989116, -46.6100932 -23.598911, -46.6100979 -23.5988651))",-23.599051454704007,-46.610049672320265,1
way,372057023,MCDONALD'S,McDonald's,Avenida Presidente Castelo Branco,,,,,,"POLYGON ((-46.6069862 -23.5240479, -46.6069824 -23.5240628, -46.6069402 -23.5242292, -46.6069983 -23.5242416, -46.6069898 -23.524275, -46.6070321 -23.524284, -46.607041 -23.5242489, -46.6071084 -23.5242632, -46.6071539 -23.5240837, -46.6069862 -23.5240479))",-23.523987446898506,-46.60656136715113,1
way,375788676,MCDONALD'S,McDonald's,Avenida Doutor Gastão Vidigal,,São Paulo,,,,"POLYGON ((-46.7335559 -23.534372, -46.7334662 -23.5344744, -46.7334533 -23.5344648, -46.7333747 -23.5345546, -46.7334826 -23.5346349, -46.7335627 -23.5345433, -46.7335516 -23.534535, -46.7336061 -23.5344728, -46.7336164 -23.5344804, -46.7336279 -23.5344673, -46.7335875 -23.5344372, -46.7336217 -23.5343981, -46.7336063 -23.5343866, -46.7335942 -23.5344005, -46.7335559 -23.534372))",-23.534945837205708,-46.733277252777725,1
way,377208356,MCDONALD'S,McDonald's,Avenida Moreira Guimarães,827,São Paulo,,,,"POLYGON ((-46.6578934 -23.6135636, -46.6578871 -23.6135686, -46.6578524 -23.6135963, -46.6578052 -23.613634, -46.6579912 -23.6138271, -46.6580821 -23.6137596, -46.6578934 -23.6135636))",-23.613947318948604,-46.65825286193609,1
way,377530841,McDonald's,McDonald's,Avenida Luís Stamatis,129,São Paulo,02260-000,,,"POLYGON ((-46.5838934 -23.4673376, -46.5838353 -23.4673482, -46.5838333 -23.4673387, -46.5837227 -23.4673587, -46.5837291 -23.4673886, -46.5836698 -23.4673994, -46.5836927 -23.4675057, -46.5837642 -23.4674927, -46.5837673 -23.4675072, -46.5839238 -23.4674788, -46.5838934 -23.4673376))",-23.467785328615584,-46.58411654460751,1
way,377622390,McDonald's,McDonald's,,,,,,,"POLYGON ((-46.6917295 -23.6551805, -46.6917177 -23.6551961, -46.6917935 -23.6552422, -46.6917412 -23.6553159, -46.6916619 -23.6552715, -46.6914923 -23.6551658, -46.69156 -23.6550748, -46.6917295 -23.6551805))",-23.655445573927196,-46.6912189673784,1
way,377996374,McDonald's,McDonald's,Avenida Aricanduva,,São Paulo,,,,"POLYGON ((-46.5108691 -23.5624896, -46.5108437 -23.5624665, -46.5108608 -23.5624506, -46.5107627 -23.5623613, -46.5107527 -23.5623713, -46.5106752 -23.5624491, -46.5106501 -23.5624742, -46.5107173 -23.5625354, -46.5108221 -23.5626309, -46.5108534 -23.5626016, -46.5108691 -23.5626159, -46.5108839 -23.5626293, -46.5108966 -23.5626175, -46.5109193 -23.5626382, -46.5109465 -23.5626128, -46.5109206 -23.5625893, -46.5109492 -23.5625626, -46.5108691 -23.5624896))",-23.56220036652105,-46.51044530611849,1
way,378471060,MCDONALD'S,McDonald's,Avenida Doutor Ricardo Jafet,,,,,,"POLYGON ((-46.6176402 -23.5847114, -46.617511 -23.584809, -46.6175192 -23.5848182, -46.6175061 -23.5848269, -46.6175034 -23.5848534, -46.6175652 -23.5849224, -46.6175942 -23.5849262, -46.6176836 -23.5848585, -46.6177016 -23.5848788, -46.6177488 -23.5848422, -46.6177296 -23.5848243, -46.6177379 -23.5848181, -46.6176402 -23.5847114))",-23.585274419076967,-46.61711875476184,1
way,381602136,MCDONALD'S,McDonald's,Praça Panamericana,,,,,,"POLYGON ((-46.7075784 -23.5533651, -46.7075073 -23.5534841, -46.7075277 -23.5534941, -46.7075018 -23.5535399, -46.7076062 -23.5535895, -46.7076348 -23.5535354, -46.7076831 -23.5535557, -46.7077464 -23.5534358, -46.7075784 -23.5533651))",-23.553007854977295,-46.707189618640435,1
way,406706669,Mc Donalds,McDonald's,Avenida Paulista,1811,São Paulo,01311-200,,,"POLYGON ((-46.6579883 -23.5603643, -46.6579836 -23.5603694, -46.6579793 -23.5603748, -46.6579758 -23.5603806, -46.6579731 -23.5603867, -46.6579724 -23.5603887, -46.6579774 -23.5603936, -46.6579724 -23.5603982, -46.6579409 -23.5604259, -46.6579445 -23.5604307, -46.6580648 -23.5605469, -46.6580622 -23.5605515, -46.6580649 -23.5605563, -46.6580899 -23.5605805, -46.658095 -23.5605796, -46.6582142 -23.5604747, -46.6582188 -23.5604697, -46.6582205 -23.5604632, -46.6582205 -23.5604566, -46.6582189 -23.5604501, -46.6582157 -23.5604441, -46.658211 -23.5604389, -46.6581611 -23.5603904, -46.6581584 -23.5603852, -46.6581603 -23.5603787, -46.6581605 -23.560372, -46.6581591 -23.5603655, -46.6581562 -23.5603594, -46.6581518 -23.5603541, -46.6581462 -23.5603498, -46.6581398 -23.5603468, -46.6581327 -23.5603452, -46.6581255 -23.5603451, -46.6581184 -23.5603465, -46.6581119 -23.5603494, -46.6581062 -23.5603535, -46.6581012 -23.5603531, -46.6580971 -23.560348, -46.6580964 -23.5603414, -46.658093 -23.5603355, -46.6580874 -23.5603313, -46.6580805 -23.5603295, -46.6580751 -23.5603283, -46.6580629 -23.5603165, -46.6580268 -23.5603482, -46.6580204 -23.5603502, -46.6580134 -23.5603516, -46.6580067 -23.5603537, -46.6580002 -23.5603567, -46.6579941 -23.5603603, -46.6579883 -23.5603643))",-23.56077599038909,-46.65809927878247,1
way,428749183,Mc Donalds,McDonald's,Rua Domingos de Morais,1954,São Paulo,04036-000,,,"POLYGON ((-46.6368843 -23.5933042, -46.6368848 -23.593325, -46.6368609 -23.5933254, -46.6368629 -23.5934336, -46.6368853 -23.5934333, -46.6368858 -23.5934631, -46.6370399 -23.5934606, -46.6370391 -23.5934154, -46.6370806 -23.5934148, -46.6370803 -23.5933955, -46.6371156 -23.593395, -46.637115 -23.593362, -46.6370798 -23.5933626, -46.6370791 -23.5933221, -46.6370376 -23.5933228, -46.6370373 -23.5933019, -46.6368843 -23.5933042))",-23.593015826726834,-46.636569110303576,1
way,429906443,Mc Donalds,McDonald's,Avenida Engenheiro Armando de Arruda Pereira,1065,São Paulo,,,,"POLYGON ((-46.6410239 -23.6366253, -46.6406355 -23.6367426, -46.6406458 -23.6367518, -46.6406698 -23.6368207, -46.6406739 -23.6368201, -46.6410275 -23.6367661, -46.6410239 -23.6366253))",-23.636855014547745,-46.640370063928636,1
way,431413727,MCDONALDS,McDonald's,Avenida da Liberdade,774,São Paulo,01502-001,,,"POLYGON ((-46.6380858 -23.5592924, -46.6380518 -23.5592579, -46.6380125 -23.5592189, -46.6379736 -23.5592434, -46.6379606 -23.5592194, -46.6378264 -23.5593151, -46.637817 -23.559367, -46.63785 -23.5594189, -46.6379922 -23.5593432, -46.6380858 -23.5592924))",-23.55888553567169,-46.63765259626576,1
way,431464242,MCDONALDS,McDonald's,Avenida da Aclimação,879,São Paulo,,,,"POLYGON ((-46.631397 -23.5730765, -46.6313289 -23.5730833, -46.6313305 -23.5730977, -46.6313133 -23.5730994, -46.6313306 -23.5732557, -46.6314034 -23.573248, -46.6314708 -23.5732427, -46.6314524 -23.5730863, -46.6314389 -23.5730876, -46.6314372 -23.5730725, -46.631397 -23.5730765))",-23.57324201128523,-46.63093393563209,1
way,451759431,McDonald's,McDonald's,Rua Maria Cândida,,São Paulo,02071-013,,,"POLYGON ((-46.5992121 -23.5078686, -46.5992478 -23.5078557, -46.5992622 -23.5078897, -46.5992817 -23.5078836, -46.5992936 -23.5079132, -46.5993313 -23.5079003, -46.5993196 -23.5078701, -46.5993578 -23.5078567, -46.5993047 -23.5077284, -46.5993262 -23.5077212, -46.5992768 -23.5076053, -46.5992076 -23.5076298, -46.5991879 -23.5075825, -46.5991242 -23.5076045, -46.599144 -23.5076532, -46.5991234 -23.5076604, -46.5992121 -23.5078686))",-23.508085689091704,-46.59944350205036,1
way,463064393,MCDONALD'S,McDonald's,Avenida Condessa Elisabeth de Robiano,,,,,,"POLYGON ((-46.5553583 -23.5138618, -46.5553687 -23.5138874, -46.5553217 -23.5139035, -46.5553459 -23.5139619, -46.5553319 -23.5139665, -46.555379 -23.5140976, -46.5553845 -23.514113, -46.5553924 -23.5141107, -46.5554099 -23.5141587, -46.5555211 -23.5141234, -46.5555023 -23.5140729, -46.5555276 -23.5140648, -46.5555089 -23.5140135, -46.5555191 -23.5140109, -46.5555134 -23.5139902, -46.5555099 -23.5139915, -46.5554889 -23.5139443, -46.5554948 -23.5139414, -46.5554839 -23.513913, -46.5554575 -23.5139212, -46.5554369 -23.5138652, -46.555397 -23.5138797, -46.5553851 -23.513852, -46.5553583 -23.5138618))",-23.513928169913076,-46.55538461910378,1
way,466018976,MCDONALDS,McDonald's,Avenida Paes de Barros,2880,São Paulo,03149-000,,,"POLYGON ((-46.5875349 -23.5758865, -46.5875297 -23.5758885, -46.5875287 -23.5758892, -46.5874681 -23.5759284, -46.5874622 -23.5759322, -46.5874599 -23.5759347, -46.5874678 -23.5759452, -46.5874633 -23.5759491, -46.5874585 -23.5759541, -46.5874546 -23.5759597, -46.5874516 -23.5759658, -46.5874497 -23.5759722, -46.5874489 -23.5759788, -46.5874492 -23.5759854, -46.5874506 -23.5759919, -46.5874531 -23.5759981, -46.5874565 -23.5760038, -46.5874609 -23.576009, -46.5874557 -23.5760135, -46.5874507 -23.5760183, -46.5874467 -23.5760239, -46.5874438 -23.57603, -46.5874421 -23.5760365, -46.5874415 -23.5760432, -46.5874422 -23.5760498, -46.5874442 -23.5760563, -46.5874472 -23.5760623, -46.5874513 -23.5760678, -46.5874564 -23.5760726, -46.5874623 -23.5760765, -46.5874688 -23.5760794, -46.5874757 -23.5760813, -46.5874829 -23.5760821, -46.5874901 -23.5760818, -46.5874972 -23.5760803, -46.5875037 -23.5760775, -46.5875441 -23.5760508, -46.5875489 -23.5760527, -46.5875824 -23.5760945, -46.5875866 -23.5760994, -46.5876515 -23.5760564, -46.5876552 -23.5760522, -46.5876269 -23.5760147, -46.5876273 -23.57601, -46.5876929 -23.5759683, -46.5876413 -23.5759006, -46.5876354 -23.575898, -46.5875349 -23.5758865))",-23.57642948543577,-46.58747355393903,1
way,466030614,Mc Donalds,McDonald's,Avenida Alcântara Machado,,,,,,"POLYGON ((-46.6046389 -23.5495343, -46.6046298 -23.5495451, -46.6046169 -23.5495359, -46.6045389 -23.5496294, -46.6045505 -23.5496376, -46.6045404 -23.5496498, -46.6045729 -23.5496729, -46.6045493 -23.5497012, -46.6045645 -23.549712, -46.6045703 -23.549705, -46.6046105 -23.5497335, -46.6046392 -23.5496992, -46.6046515 -23.5497078, -46.6047281 -23.549616, -46.6047137 -23.5496058, -46.6047234 -23.5495942, -46.6046389 -23.5495343))",-23.550073573716855,-46.60462109819366,1
way,466030618,Sorvete Mc Donalds,McDonald's,,,,,,,"POLYGON ((-46.6049408 -23.5495956, -46.6049273 -23.5496161, -46.60495 -23.5496289, -46.6049635 -23.5496084, -46.6049408 -23.5495956))",-23.550043728667298,-46.605377439136625,1
way,473171556,Mc Donalds,McDonald's,,,,,,,"POLYGON ((-46.4148629 -23.4940303, -46.4148699 -23.4938748, -46.4148416 -23.4938518, -46.414706 -23.4938582, -46.4147512 -23.4941986, -46.4148419 -23.4941071, -46.4148629 -23.4940303))",-23.494088847732137,-46.41434871839486,1
way,485377612,Mc Donalds,McDonald's,,,,,,,"POLYGON ((-46.6916282 -23.6323604, -46.6915502 -23.6322451, -46.6913142 -23.632379, -46.6913922 -23.6324943, -46.6916282 -23.6323604))",-23.632290780942494,-46.6919314583377,1
way,490183403,MCDONALD'S,McDonald's,Avenida Jaguaré,100,São Paulo,05346-000,,,"POLYGON ((-46.7452072 -23.5574438, -46.7454479 -23.5575689, -46.7453939 -23.5576563, -46.7451532 -23.5575312, -46.7452072 -23.5574438))",-23.557630825084665,-46.74521687771071,1
way,500971984,MCDONALDS,McDonald's,Avenida Giovanni Gronchi,4266,,,,,"POLYGON ((-46.7321651 -23.617126, -46.7318823 -23.6172578, -46.7319396 -23.6173612, -46.7320281 -23.6173199, -46.7320359 -23.617334, -46.7321673 -23.6172727, -46.7321644 -23.6172675, -46.7322279 -23.6172379, -46.7322074 -23.617201, -46.7322289 -23.617191, -46.7322202 -23.6171754, -46.7321982 -23.6171857, -46.7321651 -23.617126))",-23.616811399467323,-46.73235499125522,1
way,509709633,MCDONALDS,McDonald's,Avenida Maria Luiza Americano,42,São Paulo,08275-001,,,"POLYGON ((-46.4813223 -23.5788216, -46.4814196 -23.5788218, -46.48142 -23.5786615, -46.4813227 -23.5786613, -46.4813223 -23.5788216))",-23.579002864047386,-46.48147536415321,1
way,520081863,MCDONALDS,McDonald's,Rua Cerro Corá,973,São Paulo,,,,"POLYGON ((-46.7062613 -23.5392037, -46.7061994 -23.539271, -46.7062148 -23.5392831, -46.7062047 -23.539294, -46.7063008 -23.5393691, -46.7063113 -23.5393576, -46.7063218 -23.5393659, -46.7063573 -23.5393273, -46.7063753 -23.5393414, -46.706389 -23.5393264, -46.7064185 -23.5392944, -46.7064019 -23.5392814, -46.7064065 -23.5392764, -46.7063902 -23.5392636, -46.7063983 -23.5392549, -46.7063824 -23.5392425, -46.7063712 -23.5392546, -46.7062938 -23.5391941, -46.7062882 -23.5392002, -46.7062744 -23.5391894, -46.7062613 -23.5392037))",-23.53932442777959,-46.705875724553565,1
way,520830534,MCDONALD'S,McDonald's,Avenida Marquês de São Vicente,319,São Paulo,01139-001,,https://www.mcdonalds.com.br/,"POLYGON ((-46.6631687 -23.5227105, -46.6631516 -23.5226149, -46.6630923 -23.5222931, -46.6630238 -23.5222641, -46.6629592 -23.5222738, -46.6628959 -23.5222833, -46.662833 -23.5222928, -46.6627702 -23.5223022, -46.6628609 -23.5227621, -46.6631157 -23.5227194, -46.6631537 -23.522713, -46.6631616 -23.5227117, -46.6631687 -23.5227105))",-23.52299935459011,-46.6628489700377,1
way,520834260,MCDONALD'S,McDonald's,,,,,,,"POLYGON ((-46.6816198 -23.5257951, -46.6814764 -23.5258812, -46.6815292 -23.5259551, -46.6815161 -23.525963, -46.6815924 -23.5260698, -46.681606 -23.5260617, -46.6816523 -23.5261264, -46.6817952 -23.5260405, -46.6816198 -23.5257951))",-23.526389487728267,-46.68191977988861,1
way,521398695,Livraria da Vila,McDonald's,Avenida Moema,493,São Paulo,04077-022,+55 11 50523540,https://www.livrariadavila.com.br/,"POLYGON ((-46.6563602 -23.6059902, -46.6564448 -23.6060811, -46.6564521 -23.6060754, -46.6564871 -23.6061129, -46.6565465 -23.6060658, -46.6564493 -23.6059615, -46.6564442 -23.6059656, -46.6564218 -23.6059414, -46.6563602 -23.6059902))",-23.606394422688773,-46.65660418158043,1
way,521412312,MCDONALD'S,McDonald's,,,,,,,"POLYGON ((-46.6572485 -23.576149, -46.6571615 -23.5762362, -46.6571738 -23.576246, -46.6571027 -23.5763141, -46.6571289 -23.5763367, -46.6571081 -23.5763605, -46.6571086 -23.576365, -46.6571111 -23.5763686, -46.6571195 -23.5763757, -46.6571236 -23.5763715, -46.6571603 -23.5764069, -46.6572518 -23.5763168, -46.6572647 -23.5763271, -46.6573534 -23.5762395, -46.6572485 -23.576149))",-23.575895856978565,-46.65735146206581,1
way,527216791,Mc Donalds,McDonald's,,,,,,,"POLYGON ((-46.6583399 -23.6523589, -46.6581964 -23.6525162, -46.6580999 -23.6524437, -46.6582487 -23.6522889, -46.6583399 -23.6523589))",-23.652464325363752,-46.65817738284566,1
way,527217624,MCDONALDS,McDonald's,Avenida Conde de Frontin,2200,São Paulo,,,,"POLYGON ((-46.5361612 -23.5326726, -46.5361562 -23.5326926, -46.5361436 -23.53269, -46.5361415 -23.5326986, -46.5361045 -23.5326907, -46.5360983 -23.5327154, -46.5360663 -23.5327082, -46.5360174 -23.5329163, -46.5360152 -23.5329252, -46.5360522 -23.532933, -46.5360428 -23.5329706, -46.536063 -23.5329749, -46.5360547 -23.5330084, -46.5360969 -23.5330173, -46.5361052 -23.5329838, -46.5361454 -23.5329923, -46.536179 -23.5328571, -46.536199 -23.5328613, -46.5362286 -23.5327426, -46.5362077 -23.5327382, -46.5362209 -23.5326852, -46.5361612 -23.5326726))",-23.532722039227504,-46.5356330087458,1
